╢ box drawings vertical double and left single 	u+2562	2562
╣ box drawings double vertical and left 	u+2563	2563
╤ box drawings down single and horizontal double 	u+2564	2564
╥ box drawings down double and horizontal single 	u+2565	2565
╦ box drawings double down and horizontal 	u+2566	2566
╧ box drawings up single and horizontal double 	u+2567	2567
╨ box drawings up double and horizontal single 	u+2568	2568
╩ box drawings double up and horizontal 	u+2569	2569
╪ box drawings vertical single and horizontal double 	u+256a	256a
╫ box drawings vertical double and horizontal single 	u+256b	256b
╬ box drawings double vertical and horizontal 	u+256c	256c
╭ box drawings light arc down and right 	u+256d	256d
╮ box drawings light arc down and left 	u+256e	256e
╯ box drawings light arc up and left 	u+256f	256f
╰ box drawings light arc up and right 	u+2570	2570
╱ box drawings light diagonal upper right to lower left 	u+2571	2571
╲ box drawings light diagonal upper left to lower right 	u+2572	2572
╳ box drawings light diagonal cross 	u+2573	2573
╴ box drawings light left 	u+2574	2574
╵ box drawings light up 	u+2575	2575
╶ box drawings light right 	u+2576	2576
╷ box drawings light down 	u+2577	2577
╸ box drawings heavy left 	u+2578	2578
╹ box drawings heavy up 	u+2579	2579
╺ box drawings heavy right 	u+257a	257a
╻ box drawings heavy down 	u+257b	257b
╼ box drawings light left and heavy right 	u+257c	257c
╽ box drawings light up and heavy down 	u+257d	257d
╾ box drawings heavy left and light right 	u+257e	257e
╿ box drawings heavy up and light down 	u+257f	257f
😀 grinning face emoji	happy face, smiley face	1f600
😁 grinning face with smiling eyes emoji	u+1f601	1f601
😂 face with tears of joy emoji	laughing, laughing crying, laughing tears, lol	1f602
😃 smiling face with open mouth emoji	grinning face, happy, happy face, smiley face	1f603
😄 smiling face with open mouth and smiling eyes emoji	grinning face, happy face, smiley face	1f604
😅 smiling face with open mouth and cold sweat emoji	exercise, happy sweat	1f605
😆 smiling face with open mouth and tightly-closed eyes emoji	big grin, closed-eyes smile, laughing, xd	1f606
😇 smiling face with halo emoji	angel, halo	1f607
😈 smiling face with horns emoji	devil, devil horns, happy devil, purple devil	1f608
😉 winking face emoji	wink, wink face, winky face	1f609
😊 smiling face with smiling eyes emoji	happy face, smile, smiley face	1f60a
😋 face savouring delicious food emoji	goofy, hungry	1f60b
😌 relieved face emoji	content, pleased	1f60c
😍 smiling face with heart-shaped eyes emoji	heart eyes, heart face	1f60d
😎 smiling face with sunglasses emoji	cool, sunglasses	1f60e
😏 smirking face emoji	flirting, sexual face, smug face, suggestive smile	1f60f
😐 neutral face emoji	poker face, face with straight mouth, straight faced	1f610
😑 expressionless face emoji	face with straight mouth, straight face	1f611
😒 unamused face emoji	dissatisfied, meh, side-eye, unimpressed	1f612
😓 face with cold sweat emoji	hard work, sad sweat face	1f613
😔 pensive face emoji	pensive, sad, sadface, sorrowful	1f614
😕 confused face emoji	nonplussed, puzzled	1f615
😖 confounded face emoji	quivering mouth, scrunched face	1f616
😗 kissing face emoji	duck face, kissy face, whistling	1f617
😘 face throwing a kiss emoji	blow a kiss, blowing kiss, kissing	1f618
😙 kissing face with smiling eyes emoji	kiss face, kissy, whistle, whistling	1f619
😚 kissing face with closed eyes emoji	kiss face, kissy face	1f61a
😛 face with stuck-out tongue emoji	cheeky, tongue face, tongue-out	1f61b
😜 face with stuck-out tongue and winking eye emoji	crazy, crazy face	1f61c
😝 face with stuck-out tongue and tightly-closed eyes emoji	tongue out	1f61d
😞 disappointed face emoji	sad, sadface	1f61e
😟 worried face emoji	sad, sadface	1f61f
😠 angry face emoji	angry, grumpy face	1f620
😡 pouting face emoji	angry face, grumpy face, mad face, red face	1f621
😢 crying face emoji	crying, tear	1f622
😣 persevering face emoji	helpless face, scrunched eyes	1f623
😤 face with look of triumph emoji	airing of grievances, frustrated, mad face, steaming	1f624
😥 disappointed but relieved face emoji	eyebrow sweat	1f625
😦 frowning face with open mouth emoji	yawning	1f626
😧 anguished face emoji	pained face	1f627
😨 fearful face emoji	scared, surprised	1f628
😩 weary face emoji	distraught face, wailing	1f629
😪 sleepy face emoji	side-tear, snot bubble	1f62a
😫 tired face emoji	exhausted, fed up	1f62b
😬 grimacing face emoji	awkward, eek, foot in mouth, nervous	1f62c
😭 loudly crying face emoji	bawling, crying, sad tears, sobbing	1f62d
😮 face with open mouth emoji	u+1f62e	1f62e
😯 hushed face emoji	surprise, surprised face	1f62f
😰 face with open mouth and cold sweat emoji	blue face, nervous face	1f630
😱 face screaming in fear emoji	home alone, scream, screaming face	1f631
😲 astonished face emoji	gasping face, shocked face	1f632
😳 flushed face emoji	blushing face, embarrassed, shame	1f633
😴 sleeping face emoji	zzz, sleep face, snoring, zzz face	1f634
😵 dizzy face emoji	u+1f635	1f635
😶 face without mouth emoji	u+1f636	1f636
😷 face with medical mask emoji	covid-19, coronavirus, mask face, surgical mask	1f637
😸 grinning cat face with smiling eyes emoji	grinning cat, happy cat	1f638
😹 cat face with tears of joy emoji	happy tears cat, laughing cat	1f639
😺 smiling cat face with open mouth emoji	happy cat, smiling cat	1f63a
😻 smiling cat face with heart-shaped eyes emoji	heart eyes cat	1f63b
😼 cat face with wry smile emoji	smirking cat	1f63c
😽 kissing cat face with closed eyes emoji	kissing cat	1f63d
😾 pouting cat face emoji	grumpy cat	1f63e
😿 crying cat face emoji	crying cat	1f63f
🙀 weary cat face emoji	scared cat, screaming cat	1f640
🙁 slightly frowning face emoji	slightly sad	1f641
🙂 slightly smiling face emoji	slightly happy, this is fine	1f642
🙃 upside-down face emoji	sarcasm, silly	1f643
🙄 face with rolling eyes emoji	eye roll	1f644
🙅 face with no good gesture emoji	no, no deal, x arms	1f645
🙆 face with ok gesture emoji	ballerina, hands on head	1f646
🙇 person bowing deeply emoji	bowing man, cute boy, dogeza, massage	1f647
🙈 see-no-evil monkey emoji	mizaru, monkey covering eyes	1f648
🙉 hear-no-evil monkey emoji	kikazaru, monkey covering ears	1f649
🙊 speak-no-evil monkey emoji	iwazaru, monkey covering mouth	1f64a
🙋 happy person raising one hand emoji	answering question, hand up	1f64b
🙌 person raising both hands in celebration emoji	banzai!, arms in the air, banzai, festivus miracle, hallelujah, praise hands, two hands	1f64c
🙍 person frowning emoji	sad person, woman frowning	1f64d
🙎 person with pouting face emoji	blank look, fed up	1f64e
🙏 person with folded hands emoji	namaste, please, prayer, thank you	1f64f
🙐 north west pointing leaf 	u+1f650	1f650
🙑 south west pointing leaf 	u+1f651	1f651
🙒 north east pointing leaf 	u+1f652	1f652
🙓 south east pointing leaf 	u+1f653	1f653
🙔 turned north west pointing leaf 	u+1f654	1f654
🙕 turned south west pointing leaf 	u+1f655	1f655
🙖 turned north east pointing leaf 	u+1f656	1f656
🙗 turned south east pointing leaf 	u+1f657	1f657
🙘 north west pointing vine leaf 	u+1f658	1f658
🙙 south west pointing vine leaf 	u+1f659	1f659
🙚 north east pointing vine leaf 	u+1f65a	1f65a
🙛 south east pointing vine leaf 	u+1f65b	1f65b
🙜 heavy north west pointing vine leaf 	u+1f65c	1f65c
🙝 heavy south west pointing vine leaf 	u+1f65d	1f65d
🙞 heavy north east pointing vine leaf 	u+1f65e	1f65e
🙟 heavy south east pointing vine leaf 	u+1f65f	1f65f
🙠 north west pointing bud 	u+1f660	1f660
🙡 south west pointing bud 	u+1f661	1f661
🙢 north east pointing bud 	u+1f662	1f662
🙣 south east pointing bud 	u+1f663	1f663
🙤 heavy north west pointing bud 	u+1f664	1f664
🙥 heavy south west pointing bud 	u+1f665	1f665
🙦 heavy north east pointing bud 	u+1f666	1f666
🙧 heavy south east pointing bud 	u+1f667	1f667
🙬 leftwards rocket 	u+1f66c	1f66c
🙭 upwards rocket 	u+1f66d	1f66d
🙮 rightwards rocket 	u+1f66e	1f66e
🙯 downwards rocket 	u+1f66f	1f66f
🙰 script ligature et ornament 	italic ampersand lower case	1f670
🙱 heavy script ligature et ornament 	u+1f671	1f671
🙲 ligature open et ornament 	u+1f672	1f672
🙳 heavy ligature open et ornament 	u+1f673	1f673
🙴 heavy ampersand ornament 	u+1f674	1f674
🙵 swash ampersand ornament 	italic ampersand	1f675
🙶 sans-serif heavy double turned comma quotation mark ornament 	u+1f676	1f676
🙷 sans-serif heavy double comma quotation mark ornament 	u+1f677	1f677
🙸 sans-serif heavy low double comma quotation mark ornament 	u+1f678	1f678
🙹 heavy interrobang ornament 	u+1f679	1f679
🙺 sans-serif interrobang ornament 	u+1f67a	1f67a
🙻 heavy sans-serif interrobang ornament 	u+1f67b	1f67b
🚀 rocket emoji	rocket ship, space shuttle	1f680
🚁 helicopter emoji	u+1f681	1f681
🚂 steam locomotive emoji	railway locomotive, steam train	1f682
🚃 railway car emoji	railcar, railroad car, railway carriage, railway wagon	1f683
🚄 high-speed train emoji	u+1f684	1f684
🚅 high-speed train with bullet nose emoji	bullet train, shinkansen	1f685
🚆 train emoji	intercity train, diesel train, electric train, passenger train, regular train	1f686
🚇 metro emoji	subway, underground train, tube, underground	1f687
🚈 light rail emoji	u+1f688	1f688
🚉 station emoji	train, subway station, train platform, train station	1f689
🚊 tram emoji	u+1f68a	1f68a
🚋 tram car emoji	u+1f68b	1f68b
🚌 bus emoji	school bus	1f68c
🚍 oncoming bus emoji	front of bus	1f68d
🚎 trolleybus emoji	trolley bus	1f68e
🚏 bus stop emoji	u+1f68f	1f68f
🚐 minibus emoji	minivan, people-mover	1f690
🚑 ambulance emoji	u+1f691	1f691
